State,d_search,r_search,year,rep_dem_ratio,d_state_vs_national,r_state_vs_national,r_natl_avg,lag_vote,actual_r_vote
Alabama,0.44,0.56,2016,1.272727273,1,1,0.56,61.2,64.4
Alaska,0.45,0.55,2016,1.222222222,1.022727273,0.982142857,0.56,57.3,58.4
Arizona,0.43,0.57,2016,1.325581395,0.977272727,1.017857143,0.56,54.6,51.9
Arkansas,0.46,0.54,2016,1.173913043,1.045454545,0.964285714,0.56,62.2,64.3
California,0.41,0.59,2016,1.43902439,0.931818182,1.053571429,0.56,38.1,33.9
Colorado,0.43,0.57,2016,1.325581395,0.977272727,1.017857143,0.56,47.3,47.3
Connecticut,0.44,0.56,2016,1.272727273,1,1,0.56,41.2,42.9
Delaware,0.41,0.59,2016,1.43902439,0.931818182,1.053571429,0.56,40.6,44
District of Columbia,0.44,0.56,2016,1.272727273,1,1,0.56,7.4,4.3
Florida,0.42,0.58,2016,1.380952381,0.954545455,1.035714286,0.56,49.6,50.6
Georgia,0.42,0.58,2016,1.380952381,0.954545455,1.035714286,0.56,54,52.7
Hawaii,0.42,0.58,2016,1.380952381,0.954545455,1.035714286,0.56,28.3,32.6
Idaho,0.46,0.54,2016,1.173913043,1.045454545,0.964285714,0.56,66.4,68.3
Illinois,0.43,0.57,2016,1.325581395,0.977272727,1.017857143,0.56,41.4,41
Indiana,0.44,0.56,2016,1.272727273,1,1,0.56,55.2,60.1
Iowa,0.44,0.56,2016,1.272727273,1,1,0.56,47,55.1
Kansas,0.46,0.54,2016,1.173913043,1.045454545,0.964285714,0.56,61.1,61.1
Kentucky,0.42,0.58,2016,1.380952381,0.954545455,1.035714286,0.56,61.5,65.7
Louisiana,0.43,0.57,2016,1.325581395,0.977272727,1.017857143,0.56,58.7,60.2
Maine,0.45,0.55,2016,1.222222222,1.022727273,0.982142857,0.56,42.1,48.4
Maryland,0.42,0.58,2016,1.380952381,0.954545455,1.035714286,0.56,36.7,36
Massachusetts,0.43,0.57,2016,1.325581395,0.977272727,1.017857143,0.56,38.2,35.3
Michigan,0.44,0.56,2016,1.272727273,1,1,0.56,45.2,50.1
Minnesota,0.43,0.57,2016,1.325581395,0.977272727,1.017857143,0.56,46.1,49.2
Mississippi,0.44,0.56,2016,1.272727273,1,1,0.56,55.8,59.1
Missouri,0.43,0.57,2016,1.325581395,0.977272727,1.017857143,0.56,54.8,59.8
Montana,0.45,0.55,2016,1.222222222,1.022727273,0.982142857,0.56,57,61.1
Nebraska,0.45,0.55,2016,1.222222222,1.022727273,0.982142857,0.56,61.1,63.5
Nevada,0.42,0.58,2016,1.380952381,0.954545455,1.035714286,0.56,46.6,48.7
New Hampshire,0.44,0.56,2016,1.272727273,1,1,0.56,47.2,49.8
New Jersey,0.42,0.58,2016,1.380952381,0.954545455,1.035714286,0.56,41,42.7
New Mexico,0.44,0.56,2016,1.272727273,1,1,0.56,44.7,45.3
New York,0.43,0.57,2016,1.325581395,0.977272727,1.017857143,0.56,35.7,38.2
North Carolina,0.43,0.57,2016,1.325581395,0.977272727,1.017857143,0.56,51,51.9
North Dakota,0.44,0.56,2016,1.272727273,1,1,0.56,60.1,69.8
Ohio,0.44,0.56,2016,1.272727273,1,1,0.56,48.5,54.3
